β/l z/l KρH KθH KMH KQH KρM KθM KMM KQM
5.0 0.0000 1.0003 1.0003 0.0000 1.0000 -1.0003 1.0002 1.0000 0.0000
5.0 0.0625 0.6964 0.9214 0.2249 0.4711 -0.4715 0.6964 0.9211 0.2250
5.0 0.1250 0.4342 0.7476 0.3131 0.1206 -0.1210 0.4343 0.7472 0.3133
5.0 0.1875 0.2317 0.5479 0.3155 -0.0842 0.0840 0.2320 0.5472 0.3158
5.0 0.2500 0.0901 0.3628 0.2716 -0.1817 0.1818 0.0907 0.3620 0.2720
5.0 0.3125 0.0013 0.2121 0.2093 -0.2079 0.2084 0.0022 0.2111 0.2095
5.0 0.3750 -0.0466 0.1013 0.1461 -0.1919 0.1930 -0.0455 0.1002 0.1461
5.0 0.4375 -0.0659 0.0277 0.0915 -0.1556 0.1575 -0.0644 0.0267 0.0910
5.0 0.5000 -0.0671 -0.0157 0.0494 -0.1133 0.1163 -0.0654 -0.0161 0.0482
5.0 0.5625 -0.0584 -0.0368 0.0203 -0.0738 0.0778 -0.0567 -0.0361 0.0180
5.0 0.6250 -0.0456 -0.0435 0.0026 -0.0412 0.0461 -0.0444 -0.0409 -0.0012
5.0 0.6875 -0.0321 -0.0419 -0.0063 -0.0169 0.0223 -0.0321 -0.0365 -0.0117
5.0 0.7500 -0.0197 -0.0369 -0.0088 -0.0008 0.0055 -0.0221 -0.0276 -0.0159
5.0 0.8125 -0.0090 -0.0317 -0.0075 0.0081 -0.0059 -0.0150 -0.0175 -0.0157
5.0 0.8750 0.0002 -0.0279 -0.0044 0.0108 -0.0139 -0.0110 -0.0086 -0.0125
5.0 0.9375 0.0086 -0.0261 -0.0014 0.0079 -0.0201 -0.0094 -0.0023 -0.0072
5.0 1.0000 0.0167 -0.0259 0.0000 0.0000 -0.0259 -0.0091 -0.0000 0.0000
